CNT,BELONG,BULLIED,FAMSUP,FEELSAFE,STRESAGR,EMOCOAGR,EMPATAGR,ESCS,HISEI,HISCED,HOMEPOS,PAREDINT,ST004D01T,AGE,PV1MATH,PV1READ,PV10SCIE
AUT,1.0,0.4715209666160025,0.06111275971406086,1.0,0.6034461193208622,,1.0,0.4658268865845041,0.38945782455913863,0.4730248726106556,0.717377770049606,0.5224276892825885,0.41044387894580564,0.7086420348243306,0.7721969468176456,0.7003412036476344,0.6961942032624006
BEL,0.45707291619676277,0.4951342492005861,0.05051612677160624,0.32173904817592236,0.43423706879198803,,0.21929063396994658,0.49349880071193203,0.4290096513008361,0.8067212777862706,0.5131093718335731,0.8325287351675332,0.0,0.9197712301080829,0.802110717910512,0.6775683568529242,0.6965434821123546
BGR,0.1599956485620586,0.3921140359218021,0.20384876655839143,0.09115429248671063,,0.4011288840656369,0.11175570211409244,0.016793798527291456,0.23482886416829704,0.4897065241818167,0.0318657677077383,0.42899049902846814,0.9071745475008274,0.14878866521483441,0.0,0.0,0.0
CZE,0.04531843991192334,0.5856777434169443,0.13953033223556546,0.13400673663954418,0.32178111807049375,0.2100220480233702,0.3211066807949172,0.33476938666773925,0.3578319467429913,0.21537531166539078,0.6265981441299932,0.3563051754901469,0.29587206424359314,0.5049536513162189,0.8610233792099574,0.838652594703929,0.8160883707702146
DEU,0.766148645777386,0.578765621725297,0.1314280504939209,,0.5612632169608376,0.6266028656518651,0.7561688327018407,0.19744843786815094,0.3052300547259036,0.14940503903878474,0.579533611288279,0.12592831011562625,0.5174787059209703,0.7513867942968964,0.6302534492229662,0.6823669968149252,0.6977425312843474
DNK,0.5460676305503233,0.7920029282835832,0.25501058898990714,,0.8389063690821992,0.7927927353486961,0.5859011796882431,0.7715940102185346,0.8205170757117518,0.8010089732062878,0.672407905159822,0.9818308226072282,0.4077787204347409,0.16971717038439765,0.6369953988807651,0.6418457934989246,0.5701319935487771
ESP,0.812711699979984,0.22591517516611526,0.4965158986348093,,0.4353474675230105,0.6157956850535661,0.8489518757962045,0.38000479434787215,0.255697968541574,0.6284775167190956,0.49973270375010936,0.714408371309686,0.40230654393783266,0.5902895918506966,0.6635183784722185,0.6719889084188511,0.6398877507122133
EST,0.23623750447652564,0.6993570735976729,0.08414817466200902,0.5713998337958068,0.7046433325693104,0.5521248855389294,0.2140349771451107,0.5790471791324078,0.5490418326741138,0.7400950756018843,0.6102308031103818,0.8150187436816437,0.5443919540111273,0.820055627522838,1.0,0.9666929410452803,1.0
FIN,0.5031614727795491,0.2851731354210843,0.25383275211969225,0.6951845639194358,0.8057961646789158,0.7798942765723859,0.6468674925764076,0.5900475079118349,0.48217406064090756,0.7632136609724145,0.5931692529854814,0.9304103172612287,0.5501398737326912,0.20540509109543875,0.603786485944207,0.6456057830615416,0.7259187988962701
FRA,0.35527524753767153,0.6023744506534318,0.02627312429614727,0.19747761410684525,0.3063759587183224,0.4673431968570807,0.3507767685153403,0.2785131596605458,0.3308138329485433,0.6577466077985906,0.2740594858464915,0.6989274154676877,0.224679394623269,0.6500067579284605,0.5277157398372122,0.5551798261548545,0.554368993549862
GBR,0.13821209569000936,0.8021443109054726,0.45353682315444577,0.14875766025613593,0.19124993465725873,0.31290978878004133,0.30027892181887306,0.49880680778438546,0.6174171663462898,0.45951805419755354,0.5441111355741578,0.636137576779348,0.4371457060531796,0.2131864658184557,0.6807604920526793,0.7586844934178103,0.681887200857821
GRC,0.323642351303508,0.4708842455153679,0.4090356785556576,0.13953042199282267,0.2401888908095157,0.3197530924274345,0.5853883822524953,0.18657777365755004,0.25906136886288245,0.549123540397057,0.14247568405679495,0.6581438150700846,0.3424548439469584,0.1649378348043344,0.1686200027127617,0.3225270654452833,0.21467313473450395
HRV,0.5698360776779501,0.11580560848394607,0.6981318571922986,0.475429880709081,0.6069223129197001,0.718282639634211,0.41122851304727315,0.16274520104844228,0.1655209760102079,0.2810516070824278,0.29806531077617904,0.4853726704522741,0.34123389414438515,0.20214311419982162,0.4733913852411439,0.617387993466891,0.5711647658939348
HUN,0.6061857667789383,0.19494503095649365,0.5776353646315566,0.26045886026877246,0.7132001242880417,0.5290372930208119,0.6201819955504115,0.4253633898046414,0.3218552919556092,0.6699445799517615,0.5317282648829688,0.7368782201559918,0.25642285408243193,0.09580232948123417,0.6597256675689446,0.6598754206937942,0.6654845900852422
IRL,0.2409644648989489,0.4294650112701103,0.36267236506229816,0.34579789305149605,0.4305995164935229,0.47778429431865366,0.44832721803505887,0.7760300687001771,0.8309856096222904,0.7979248936357851,0.7573945221856834,0.872951333415166,0.4037973937365445,0.15047974480412782,0.7905986958139346,1.0,0.7800292891337937
ISL,0.6237494187162719,0.17760385386928154,0.05007398267229128,0.39189576820174854,0.7686186164797686,0.5707785806838614,0.2429413855151885,0.8249820832937528,0.8796403255358306,1.0,0.7876416841953545,0.9218634434526473,0.5954855419858387,0.054525355898903595,0.4213896049557369,0.2685070664274222,0.23343202380494493
ITA,0.4106079345340818,0.20795008288882583,0.11185646587490296,0.3818287898870537,0.164130819879587,0.3573782072394901,0.4322390727245817,0.2307742532872157,0.12107020706035085,0.33268225907755616,0.5153884562614094,0.4300759981125009,0.1230854340149893,0.3074007514865082,0.6032566874484864,0.6667720914362079,0.5464946573638563
LTU,0.3325233313647345,0.24596485818138017,0.41016537108864143,0.399827515580222,0.536718150405543,0.3363467108204315,0.21719676356966172,0.393962635824439,0.4642819015536998,0.7464024202120982,0.3738092784638699,0.7348578698006232,0.20707868943824848,0.040244165311083845,0.5732414977375401,0.5431916824437287,0.5319078276398255
LVA,0.07760570676209756,1.0,0.29150288308423367,0.4648749507462701,0.4053889036402852,0.2751038621108435,0.0,0.3387882834489906,0.3208738506787969,0.6380437599487878,0.42663406559717826,0.6525492842990505,0.0943611537568709,0.3953611792091061,0.6798969874360898,0.6162249947680609,0.6794118086123465
MLT,0.10362123877594262,0.8491416750141234,0.47370033401172085,0.23539724363823963,0.0,0.11448452850658149,0.6312696715889,0.4116593937155019,0.5308714842197079,0.2852698245676737,0.747646595611702,0.23906711781678064,0.4374585217712192,0.0,0.5418350544889077,0.3873153637427582,0.4348212735095874
NLD,0.5382413732589119,0.11619055660231804,0.09569773930562074,0.30777734735563655,1.0,1.0,0.3719240207887709,0.6458601465946142,0.566454921150249,0.7608303599523831,0.6916798477830797,0.8725343224490509,0.836021753228238,0.41837514157826095,0.7711219303967001,0.473544535939085,0.6130289636577029
NOR,0.7107090932070235,0.4358021189865705,0.1460189946371949,0.6542925784093325,,,,1.0,1.0,0.8902354046562678,1.0,1.0,0.5892182470390593,0.40188852866348496,0.5314959694277319,0.6405883540817365,0.5328358475671329
POL,0.0,0.3119908325373462,0.002760489119051332,0.01794247191580779,0.34646446851811646,0.0,0.35379164019269277,0.2659313320534786,0.3479485384665403,0.20080073320204106,0.5088412731427543,0.3392891986256213,0.2784131751441286,0.12189095594717769,0.8110984404114928,0.793894449930871,0.7949922280436943
PRT,0.5224268676046716,0.0,1.0,0.45204325766186826,0.31728360477659456,0.5026930780809544,0.7805471133867009,0.09780318208613648,0.2524122944237216,0.0,0.5014502550840315,0.0,0.3363515977994582,0.17167140858808747,0.6087761692392906,0.6836876634961953,0.6159303617800279
ROU,0.39196872657894366,0.7733183914124743,0.5607163762980669,0.0,0.4694747248493979,0.31525345091023876,0.3660508519827325,0.0,0.0,0.5260868015080298,0.0,0.6219422130398495,0.17209610842927445,1.0,0.17913193624199095,0.27145126549154097,0.13128291209949308
SVK,0.1477167566226099,0.4346502167833729,0.06864363313881894,0.1558713009821984,0.3470887638703772,0.3902209436013722,0.38068307758891445,0.03214978086967787,0.061294246999471384,0.37641533688937895,0.2236222486534714,0.3591861499456681,0.9352930985191357,0.612027444809998,0.5324368173990961,0.4132605170694355,0.4216583063408611
SVN,0.42595391035759933,0.23586003276252335,0.0,0.280556323307516,0.3758172276694327,0.48789703604603435,,0.5386593269050881,0.5417210090136722,0.577838582520732,0.6185600293326663,0.7023881806213992,1.0,0.1793178490494094,0.5702960031208485,0.4493675057039738,0.6195706581556633
SWE,0.5209069045326816,0.4714844418215952,0.3880639538280157,0.3900379221952736,,,,0.7615265581708417,0.7918984551113415,0.8523077658826523,0.7671641744763826,0.8655250829776346,0.5296575731948725,0.19443254957881473,0.6753281888184036,0.7219278950603443,0.6937093532044375
